level,category,question,option 1,option 2,option 3,option 4,answer
easy,programming,Python uses indentation to define code blocks,TRUE,FALSE,,,TRUE
easy,programming,Variables in Python need explicit type declaration,TRUE,FALSE,,,FALSE
easy,programming,Python lists can contain elements of different types,TRUE,FALSE,,,TRUE
easy,programming,The 'def' keyword is used to define functions in Python,TRUE,FALSE,,,TRUE
easy,programming,Python supports multiple inheritance,TRUE,FALSE,,,TRUE
easy,programming,Strings in Python are immutable,TRUE,FALSE,,,TRUE
easy,programming,Python has a 'switch' statement,TRUE,FALSE,,,FALSE
easy,programming,The 'print()' function outputs data to the console,TRUE,FALSE,,,TRUE
easy,programming,Python dictionaries store data as key-value pairs,TRUE,FALSE,,,TRUE
easy,programming,Python allows negative indexing in lists,TRUE,FALSE,,,TRUE
easy,programming,Tuples in Python can be modified after creation,TRUE,FALSE,,,FALSE
easy,programming,Python uses '#' for single-line comments,TRUE,FALSE,,,TRUE
easy,programming,The 'while' loop runs until a condition is False,TRUE,FALSE,,,TRUE
easy,programming,Python supports object-oriented programming,TRUE,FALSE,,,TRUE
easy,programming,The 'break' statement exits a loop immediately,TRUE,FALSE,,,TRUE
easy,programming,Python's 'and' operator returns True if both operands are True,TRUE,FALSE,,,TRUE
easy,programming,Lists in Python are immutable,TRUE,FALSE,,,FALSE
easy,programming,The 'continue' statement skips the current loop iteration,TRUE,FALSE,,,TRUE
easy,programming,Python uses 'elif' for else-if conditions,TRUE,FALSE,,,TRUE
easy,programming,Functions in Python can return multiple values,TRUE,FALSE,,,TRUE
easy,programming,Python supports lambda (anonymous) functions,TRUE,FALSE,,,TRUE
easy,programming,The 'in' keyword can check membership in lists or strings,TRUE,FALSE,,,TRUE
easy,programming,Python integers are of unlimited size,TRUE,FALSE,,,TRUE
easy,programming,Python uses 'for' loops only with numeric ranges,TRUE,FALSE,,,FALSE
easy,programming,The 'import' statement is used to include modules,TRUE,FALSE,,,TRUE
easy,programming,Python's 'is' operator compares object identity,TRUE,FALSE,,,TRUE
easy,programming,The 'not' operator returns the opposite Boolean value,TRUE,FALSE,,,TRUE
